Exchange,Symbol,Segment,SecurityType,PrimaryExch,LotSize,Restriction,OutstandingShares,ADV,MaxShares,MaxGrossShares,OddLot,MaxLots,MktPriceTick,MktPriceTolerance,PriceRangePct,BidPriceRangePct,AskPriceRangePct,RIC,QUIK,ISIN,BSYM,CUSIP,SEDOL,Currency,ClosePrice,BasePrice,PriceMult,ContractMult,Last,Bid,Ask,MinPrice,MaxPrice,MovingAvgPx,SettlePx,IAP,TrdStatus,MktCode,Tick,TickSize,Flags,Attributes,MovingAvgWindow,MovingAvgFreq,Partition,TickGroup,DerType,Underlying,OptionType,ExerciseStyle,StrikePrice,MaturityYearMonth,MaturityDay,ShortOptionMin,ContractValueFactor,Delta,MaxIntraGrossShares,MaxFutIntraGrossShares,ExposureMarginPct,FutureExtremeLossMarginPct,OptionExtremeLossMarginPct,SpreadExtremeLossMarginPct,RiskArray0,RiskArray1,RiskArray2,RiskArray3,RiskArray4,RiskArray5,RiskArray6,RiskArray7,RiskArray8,RiskArray9,RiskArray10,RiskArray11,RiskArray12,RiskArray13,RiskArray14,RiskArray15,ExecExchange,TrackedPrice,SharedAvail,SharedUsed
"T","2198","","CS","T",100,,,29800,,,Y,2993,Y,Y,,,,"2198.T","","JP3101120008","2198 JT","9JE07INF1","B60TN32","",,607,,,,,,519,719,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7562","","CS","T",1000,,,6500,,,Y,215,Y,Y,,,,"7562.T","","JP3128700006","7562 JT","036990125","6053031","",,453,,,,,,371,531,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9733","","CS","T",1000,,,3615,,,Y,101,Y,Y,,,,"9733.T","","JP3647600000","9733 JT","629990763","6619671","",,5720,,,,,,4100,6100,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6257","","CS","T",100,,,11743,,,Y,2439,Y,Y,,,,"6257.T","","JP3814600007","6257 JT","9JE0250W2","B1MP485","",,1052,,,,,,714,1314,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7811","","CS","T",100,,,20843,,,Y,408,Y,Y,,,,"7811.T","","JP3646100002","7811 JT","9JE06EC48","BYZGMS2","",,1944,,,,2259,2259,1459,2259,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","4659","","CS","T",100,,,28236,,,Y,538,Y,Y,,,,"4659.T","","JP3160720003","4659 JT","0097101A2","6034070","",,4360,,,,,,4105,5510,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8521","","CS","T",1000,,,48571,,,Y,925,Y,Y,,,,"8521.T","","JP3648300006","8521 JT","629990458","6636692","",,192,,,,,,146,246,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9869","","CS","T",100,,,28543,,,Y,3815,Y,Y,,,,"9869.T","","JP3213300001","9869 JT","486990500","6484181","",,2641,,,,,,2246,3250,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9508","","CS","T",100,,,1410964,,,Y,37558,Y,Y,,,,"9508.T","","JP3246400000","9508 JT","501990337","6499806","",,1065,,,,,,811,1411,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2742","","CS","T",100,,,13586,,,Y,1986,Y,Y,,,,"2742.T","","JP3773750009","2742 JT","9JE009EH4","6539702","",,2190,,,,,,1816,2816,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
